Label,Site,Genus,Treatment,Genotype,Color_type,Color,Name,Area1,Mean_frag,StdDev1,Mode1,Min1,Max1,MinThr1,MaxThr1,Label_match
DL_Por_T2_DL20.jpg_RGB,DL,Por,T2,DL20,RGB,R,DL_Por_T2_DL20.jpg_RGB_01,231494,44.185,17.627,42,0,98,0,255,DL_Por_T2_DL20
DL_Por_T2_DL20.jpg_RGB,DL,Por,T2,DL20,RGB,G,DL_Por_T2_DL20.jpg_RGB_02,231494,31.553,17.88,26,0,94,0,255,DL_Por_T2_DL20
DL_Por_T2_DL20.jpg_RGB,DL,Por,T2,DL20,RGB,B,DL_Por_T2_DL20.jpg_RGB_03,231494,39.046,16.809,33,0,95,0,255,DL_Por_T2_DL20
DL_Por_T2_DL20.jpg_LAB,DL,Por,T2,DL20,LAB,R,DL_Por_T2_DL20.jpg_LAB_04,231494,13.751,8.041,7.221,0,38.918,-3.40E+38,3.40E+38,DL_Por_T2_DL20
DL_Por_T2_DL20.jpg_LAB,DL,Por,T2,DL20,LAB,G,DL_Por_T2_DL20.jpg_LAB_05,231494,7.572,4.708,8.529,-9.001,19.492,-3.40E+38,3.40E+38,DL_Por_T2_DL20
DL_Por_T2_DL20.jpg_LAB,DL,Por,T2,DL20,LAB,B,DL_Por_T2_DL20.jpg_LAB_06,231494,-2.614,4.758,-4.322,-16.992,20.078,-3.40E+38,3.40E+38,DL_Por_T2_DL20
DL_Por_T2_DL20.jpg_HSB,DL,Por,T2,DL20,HSB,R,DL_Por_T2_DL20.jpg_HSB_07,231494,186.503,77.714,225,0,253,0,255,DL_Por_T2_DL20
DL_Por_T2_DL20.jpg_HSB,DL,Por,T2,DL20,HSB,G,DL_Por_T2_DL20.jpg_HSB_08,231494,88.056,30.262,102,0,255,0,255,DL_Por_T2_DL20
DL_Por_T2_DL20.jpg_HSB,DL,Por,T2,DL20,HSB,B,DL_Por_T2_DL20.jpg_HSB_09,231494,44.605,17.761,39,0,98,0,255,DL_Por_T2_DL20
DL_Por_T3_DL11.jpg_RGB,DL,Por,T3,DL11,RGB,R,DL_Por_T3_DL11.jpg_RGB_01,211319,62.681,24.425,50,9,129,0,255,DL_Por_T3_DL11
DL_Por_T3_DL11.jpg_RGB,DL,Por,T3,DL11,RGB,G,DL_Por_T3_DL11.jpg_RGB_02,211319,43.441,23.943,29,4,122,0,255,DL_Por_T3_DL11
DL_Por_T3_DL11.jpg_RGB,DL,Por,T3,DL11,RGB,B,DL_Por_T3_DL11.jpg_RGB_03,211319,60.52,23.954,47,9,128,0,255,DL_Por_T3_DL11
DL_Por_T3_DL11.jpg_LAB,DL,Por,T3,DL11,LAB,R,DL_Por_T3_DL11.jpg_LAB_04,211319,20.396,10.541,14.045,2.066,48.181,-3.40E+38,3.40E+38,DL_Por_T3_DL11
DL_Por_T3_DL11.jpg_LAB,DL,Por,T3,DL11,LAB,G,DL_Por_T3_DL11.jpg_LAB_05,211319,12.354,7.026,8.452,-18.231,27.461,-3.40E+38,3.40E+38,DL_Por_T3_DL11
DL_Por_T3_DL11.jpg_LAB,DL,Por,T3,DL11,LAB,B,DL_Por_T3_DL11.jpg_LAB_06,211319,-7.179,5.41,-4.27,-22.631,13.665,-3.40E+38,3.40E+38,DL_Por_T3_DL11
DL_Por_T3_DL11.jpg_HSB,DL,Por,T3,DL11,HSB,R,DL_Por_T3_DL11.jpg_HSB_07,211319,202.835,48.089,215,0,253,0,255,DL_Por_T3_DL11
DL_Por_T3_DL11.jpg_HSB,DL,Por,T3,DL11,HSB,G,DL_Por_T3_DL11.jpg_HSB_08,211319,91.401,29.188,102,0,212,0,255,DL_Por_T3_DL11
DL_Por_T3_DL11.jpg_HSB,DL,Por,T3,DL11,HSB,B,DL_Por_T3_DL11.jpg_HSB_09,211319,64.227,25.322,47,10,129,0,255,DL_Por_T3_DL11
DL_Por_T3_DL12.jpg_RGB,DL,Por,T3,DL12,RGB,R,DL_Por_T3_DL12.jpg_RGB_01,183325,56.041,26.052,27,14,111,0,255,DL_Por_T3_DL12
DL_Por_T3_DL12.jpg_RGB,DL,Por,T3,DL12,RGB,G,DL_Por_T3_DL12.jpg_RGB_02,183325,49.639,25.91,23,9,103,0,255,DL_Por_T3_DL12
DL_Por_T3_DL12.jpg_RGB,DL,Por,T3,DL12,RGB,B,DL_Por_T3_DL12.jpg_RGB_03,183325,43.486,23.041,20,0,101,0,255,DL_Por_T3_DL12
DL_Por_T3_DL12.jpg_LAB,DL,Por,T3,DL12,LAB,R,DL_Por_T3_DL12.jpg_LAB_04,183325,20.683,11.653,7.65,2.707,42.878,-3.40E+38,3.40E+38,DL_Por_T3_DL12
DL_Por_T3_DL12.jpg_LAB,DL,Por,T3,DL12,LAB,G,DL_Por_T3_DL12.jpg_LAB_05,183325,1.705,2.2,3.191,-9.601,8.745,-3.40E+38,3.40E+38,DL_Por_T3_DL12
DL_Por_T3_DL12.jpg_LAB,DL,Por,T3,DL12,LAB,B,DL_Por_T3_DL12.jpg_LAB_06,183325,4.828,2.866,3.534,-4.036,18.112,-3.40E+38,3.40E+38,DL_Por_T3_DL12
DL_Por_T3_DL12.jpg_HSB,DL,Por,T3,DL12,HSB,R,DL_Por_T3_DL12.jpg_HSB_07,183325,21.379,18.534,18,0,252,0,255,DL_Por_T3_DL12
DL_Por_T3_DL12.jpg_HSB,DL,Por,T3,DL12,HSB,G,DL_Por_T3_DL12.jpg_HSB_08,183325,63.382,20.098,85,0,255,0,255,DL_Por_T3_DL12
DL_Por_T3_DL12.jpg_HSB,DL,Por,T3,DL12,HSB,B,DL_Por_T3_DL12.jpg_HSB_09,183325,56.234,26.123,27,14,111,0,255,DL_Por_T3_DL12
DL_Por_T3_DL13.jpg_RGB,DL,Por,T3,DL13,RGB,R,DL_Por_T3_DL13.jpg_RGB_01,195987,37.074,14.87,34,3,84,0,255,DL_Por_T3_DL13
DL_Por_T3_DL13.jpg_RGB,DL,Por,T3,DL13,RGB,G,DL_Por_T3_DL13.jpg_RGB_02,195987,31.482,15.711,23,6,76,0,255,DL_Por_T3_DL13
DL_Por_T3_DL13.jpg_RGB,DL,Por,T3,DL13,RGB,B,DL_Por_T3_DL13.jpg_RGB_03,195987,29.915,16.079,21,4,78,0,255,DL_Por_T3_DL13
DL_Por_T3_DL13.jpg_LAB,DL,Por,T3,DL13,LAB,R,DL_Por_T3_DL13.jpg_LAB_04,195987,12.519,7.231,6.256,2.094,31.279,-3.40E+38,3.40E+38,DL_Por_T3_DL13
DL_Por_T3_DL13.jpg_LAB,DL,Por,T3,DL13,LAB,G,DL_Por_T3_DL13.jpg_LAB_05,195987,2.325,2.216,-0.036,-12.157,10.574,-3.40E+38,3.40E+38,DL_Por_T3_DL13
DL_Por_T3_DL13.jpg_LAB,DL,Por,T3,DL13,LAB,B,DL_Por_T3_DL13.jpg_LAB_06,195987,1.914,1.699,0.996,-7.757,12.521,-3.40E+38,3.40E+38,DL_Por_T3_DL13
DL_Por_T3_DL13.jpg_HSB,DL,Por,T3,DL13,HSB,R,DL_Por_T3_DL13.jpg_HSB_07,195987,45.318,75.927,8,0,252,0,255,DL_Por_T3_DL13
DL_Por_T3_DL13.jpg_HSB,DL,Por,T3,DL13,HSB,G,DL_Por_T3_DL13.jpg_HSB_08,195987,64.824,28.867,85,0,231,0,255,DL_Por_T3_DL13
DL_Por_T3_DL13.jpg_HSB,DL,Por,T3,DL13,HSB,B,DL_Por_T3_DL13.jpg_HSB_09,195987,37.704,15.298,34,9,84,0,255,DL_Por_T3_DL13
DL_Por_T3_DL14.jpg_RGB,DL,Por,T3,DL14,RGB,R,DL_Por_T3_DL14.jpg_RGB_01,258173,46.227,15.08,38,1,113,0,255,DL_Por_T3_DL14
DL_Por_T3_DL14.jpg_RGB,DL,Por,T3,DL14,RGB,G,DL_Por_T3_DL14.jpg_RGB_02,258173,37.104,14.133,30,0,98,0,255,DL_Por_T3_DL14
DL_Por_T3_DL14.jpg_RGB,DL,Por,T3,DL14,RGB,B,DL_Por_T3_DL14.jpg_RGB_03,258173,29.765,13.653,22,0,107,0,255,DL_Por_T3_DL14
DL_Por_T3_DL14.jpg_LAB,DL,Por,T3,DL14,LAB,R,DL_Por_T3_DL14.jpg_LAB_04,258173,15.404,6.513,12.13,0.098,40.896,-3.40E+38,3.40E+38,DL_Por_T3_DL14
DL_Por_T3_DL14.jpg_LAB,DL,Por,T3,DL14,LAB,G,DL_Por_T3_DL14.jpg_LAB_05,258173,2.986,1.912,3.015,-10.824,16.963,-3.40E+38,3.40E+38,DL_Por_T3_DL14
DL_Por_T3_DL14.jpg_LAB,DL,Por,T3,DL14,LAB,B,DL_Por_T3_DL14.jpg_LAB_06,258173,6.464,3.168,6.423,-15.385,18.553,-3.40E+38,3.40E+38,DL_Por_T3_DL14
DL_Por_T3_DL14.jpg_HSB,DL,Por,T3,DL14,HSB,R,DL_Por_T3_DL14.jpg_HSB_07,258173,26.764,37.647,18,0,253,0,255,DL_Por_T3_DL14
DL_Por_T3_DL14.jpg_HSB,DL,Por,T3,DL14,HSB,G,DL_Por_T3_DL14.jpg_HSB_08,258173,96.932,24.921,110,0,255,0,255,DL_Por_T3_DL14
DL_Por_T3_DL14.jpg_HSB,DL,Por,T3,DL14,HSB,B,DL_Por_T3_DL14.jpg_HSB_09,258173,46.533,15.208,38,1,113,0,255,DL_Por_T3_DL14
DL_Por_T3_DL15.jpg_RGB,DL,Por,T3,DL15,RGB,R,DL_Por_T3_DL15.jpg_RGB_01,213088,55.597,19.639,49,1,115,0,255,DL_Por_T3_DL15
DL_Por_T3_DL15.jpg_RGB,DL,Por,T3,DL15,RGB,G,DL_Por_T3_DL15.jpg_RGB_02,213088,44.636,18.8,31,0,105,0,255,DL_Por_T3_DL15
DL_Por_T3_DL15.jpg_RGB,DL,Por,T3,DL15,RGB,B,DL_Por_T3_DL15.jpg_RGB_03,213088,46.54,19.472,37,0,106,0,255,DL_Por_T3_DL15
DL_Por_T3_DL15.jpg_LAB,DL,Por,T3,DL15,LAB,R,DL_Por_T3_DL15.jpg_LAB_04,213088,19.349,8.602,17.071,0.058,43.829,-3.40E+38,3.40E+38,DL_Por_T3_DL15
DL_Por_T3_DL15.jpg_LAB,DL,Por,T3,DL15,LAB,G,DL_Por_T3_DL15.jpg_LAB_05,213088,5.448,3.177,4.805,-9.836,14.114,-3.40E+38,3.40E+38,DL_Por_T3_DL15
DL_Por_T3_DL15.jpg_LAB,DL,Por,T3,DL15,LAB,B,DL_Por_T3_DL15.jpg_LAB_06,213088,0.717,2.736,0.946,-10.031,13.484,-3.40E+38,3.40E+38,DL_Por_T3_DL15
DL_Por_T3_DL15.jpg_HSB,DL,Por,T3,DL15,HSB,R,DL_Por_T3_DL15.jpg_HSB_07,213088,145.967,111.348,250,0,253,0,255,DL_Por_T3_DL15
DL_Por_T3_DL15.jpg_HSB,DL,Por,T3,DL15,HSB,G,DL_Por_T3_DL15.jpg_HSB_08,213088,59.006,20.057,63,0,255,0,255,DL_Por_T3_DL15
DL_Por_T3_DL15.jpg_HSB,DL,Por,T3,DL15,HSB,B,DL_Por_T3_DL15.jpg_HSB_09,213088,55.86,19.776,49,1,115,0,255,DL_Por_T3_DL15
DL_Por_T3_DL16.jpg_RGB,DL,Por,T3,DL16,RGB,R,DL_Por_T3_DL16.jpg_RGB_01,226199,72.515,25.636,107,9,124,0,255,DL_Por_T3_DL16
DL_Por_T3_DL16.jpg_RGB,DL,Por,T3,DL16,RGB,G,DL_Por_T3_DL16.jpg_RGB_02,226199,64.256,27.802,32,7,115,0,255,DL_Por_T3_DL16
DL_Por_T3_DL16.jpg_RGB,DL,Por,T3,DL16,RGB,B,DL_Por_T3_DL16.jpg_RGB_03,226199,62.012,23.596,49,8,115,0,255,DL_Por_T3_DL16
DL_Por_T3_DL16.jpg_LAB,DL,Por,T3,DL16,LAB,R,DL_Por_T3_DL16.jpg_LAB_04,226199,27.591,11.866,44.731,2.056,48.055,-3.40E+38,3.40E+38,DL_Por_T3_DL16
DL_Por_T3_DL16.jpg_LAB,DL,Por,T3,DL16,LAB,G,DL_Por_T3_DL16.jpg_LAB_05,226199,3.282,3.247,0.942,-7.672,12.284,-3.40E+38,3.40E+38,DL_Por_T3_DL16
DL_Por_T3_DL16.jpg_LAB,DL,Por,T3,DL16,LAB,B,DL_Por_T3_DL16.jpg_LAB_06,226199,2.577,3.639,2.223,-6.75,15.66,-3.40E+38,3.40E+38,DL_Por_T3_DL16
DL_Por_T3_DL16.jpg_HSB,DL,Por,T3,DL16,HSB,R,DL_Por_T3_DL16.jpg_HSB_07,226199,112.266,108.005,240,0,252,0,255,DL_Por_T3_DL16
DL_Por_T3_DL16.jpg_HSB,DL,Por,T3,DL16,HSB,G,DL_Por_T3_DL16.jpg_HSB_08,226199,46.829,17.919,51,0,154,0,255,DL_Por_T3_DL16
DL_Por_T3_DL16.jpg_HSB,DL,Por,T3,DL16,HSB,B,DL_Por_T3_DL16.jpg_HSB_09,226199,72.704,25.621,110,9,124,0,255,DL_Por_T3_DL16
DL_Por_T3_DL17.jpg_RGB,DL,Por,T3,DL17,RGB,R,DL_Por_T3_DL17.jpg_RGB_01,317068,45.086,18.685,41,3,115,0,255,DL_Por_T3_DL17
DL_Por_T3_DL17.jpg_RGB,DL,Por,T3,DL17,RGB,G,DL_Por_T3_DL17.jpg_RGB_02,317068,33.888,19.173,20,0,97,0,255,DL_Por_T3_DL17
DL_Por_T3_DL17.jpg_RGB,DL,Por,T3,DL17,RGB,B,DL_Por_T3_DL17.jpg_RGB_03,317068,31.433,17.295,20,0,97,0,255,DL_Por_T3_DL17
DL_Por_T3_DL17.jpg_LAB,DL,Por,T3,DL17,LAB,R,DL_Por_T3_DL17.jpg_LAB_04,317068,14.296,8.617,12.799,0.466,40.687,-3.40E+38,3.40E+38,DL_Por_T3_DL17
DL_Por_T3_DL17.jpg_LAB,DL,Por,T3,DL17,LAB,G,DL_Por_T3_DL17.jpg_LAB_05,317068,4.805,4.036,8.097,-9.738,18.709,-3.40E+38,3.40E+38,DL_Por_T3_DL17
DL_Por_T3_DL17.jpg_LAB,DL,Por,T3,DL17,LAB,B,DL_Por_T3_DL17.jpg_LAB_06,317068,3.517,3.133,2.525,-6.184,21.512,-3.40E+38,3.40E+38,DL_Por_T3_DL17
DL_Por_T3_DL17.jpg_HSB,DL,Por,T3,DL17,HSB,R,DL_Por_T3_DL17.jpg_HSB_07,317068,107.38,113.452,250,0,253,0,255,DL_Por_T3_DL17
DL_Por_T3_DL17.jpg_HSB,DL,Por,T3,DL17,HSB,G,DL_Por_T3_DL17.jpg_HSB_08,317068,90.45,28.751,102,0,255,0,255,DL_Por_T3_DL17
DL_Por_T3_DL17.jpg_HSB,DL,Por,T3,DL17,HSB,B,DL_Por_T3_DL17.jpg_HSB_09,317068,45.277,18.805,41,3,115,0,255,DL_Por_T3_DL17
DL_Por_T3_DL18.jpg_RGB,DL,Por,T3,DL18,RGB,R,DL_Por_T3_DL18.jpg_RGB_01,335643,75.721,22.94,73,7,133,0,255,DL_Por_T3_DL18
DL_Por_T3_DL18.jpg_RGB,DL,Por,T3,DL18,RGB,G,DL_Por_T3_DL18.jpg_RGB_02,335643,62.388,23.326,65,7,125,0,255,DL_Por_T3_DL18
DL_Por_T3_DL18.jpg_RGB,DL,Por,T3,DL18,RGB,B,DL_Por_T3_DL18.jpg_RGB_03,335643,56.664,22.299,59,0,125,0,255,DL_Por_T3_DL18
DL_Por_T3_DL18.jpg_LAB,DL,Por,T3,DL18,LAB,R,DL_Por_T3_DL18.jpg_LAB_04,335643,27.376,10.044,29.095,2.486,50.968,-3.40E+38,3.40E+38,DL_Por_T3_DL18
DL_Por_T3_DL18.jpg_LAB,DL,Por,T3,DL18,LAB,G,DL_Por_T3_DL18.jpg_LAB_05,335643,4.912,4.932,6.271,-20.818,18.472,-3.40E+38,3.40E+38,DL_Por_T3_DL18
DL_Por_T3_DL18.jpg_LAB,DL,Por,T3,DL18,LAB,B,DL_Por_T3_DL18.jpg_LAB_06,335643,5.763,4.175,2.616,-11.505,26.349,-3.40E+38,3.40E+38,DL_Por_T3_DL18
DL_Por_T3_DL18.jpg_HSB,DL,Por,T3,DL18,HSB,R,DL_Por_T3_DL18.jpg_HSB_07,335643,68.511,94.394,7,0,253,0,255,DL_Por_T3_DL18
DL_Por_T3_DL18.jpg_HSB,DL,Por,T3,DL18,HSB,G,DL_Por_T3_DL18.jpg_HSB_08,335643,74.551,23.685,85,0,255,0,255,DL_Por_T3_DL18
DL_Por_T3_DL18.jpg_HSB,DL,Por,T3,DL18,HSB,B,DL_Por_T3_DL18.jpg_HSB_09,335643,76.395,22.69,73,14,133,0,255,DL_Por_T3_DL18
DL_Por_T3_DL19.jpg_RGB,DL,Por,T3,DL19,RGB,R,DL_Por_T3_DL19.jpg_RGB_01,184299,65.55,20.587,54,20,118,0,255,DL_Por_T3_DL19
DL_Por_T3_DL19.jpg_RGB,DL,Por,T3,DL19,RGB,G,DL_Por_T3_DL19.jpg_RGB_02,184299,54.308,21.26,41,17,111,0,255,DL_Por_T3_DL19
DL_Por_T3_DL19.jpg_RGB,DL,Por,T3,DL19,RGB,B,DL_Por_T3_DL19.jpg_RGB_03,184299,48.866,19.928,37,12,109,0,255,DL_Por_T3_DL19
DL_Por_T3_DL19.jpg_LAB,DL,Por,T3,DL19,LAB,R,DL_Por_T3_DL19.jpg_LAB_04,184299,23.529,9.303,16.757,5.204,46.567,-3.40E+38,3.40E+38,DL_Por_T3_DL19
DL_Por_T3_DL19.jpg_LAB,DL,Por,T3,DL19,LAB,G,DL_Por_T3_DL19.jpg_LAB_05,184299,4.06,2.196,5.967,-5.331,10.964,-3.40E+38,3.40E+38,DL_Por_T3_DL19
DL_Por_T3_DL19.jpg_LAB,DL,Por,T3,DL19,LAB,B,DL_Por_T3_DL19.jpg_LAB_06,184299,5.307,2.171,4.497,-7.503,17.371,-3.40E+38,3.40E+38,DL_Por_T3_DL19
DL_Por_T3_DL19.jpg_HSB,DL,Por,T3,DL19,HSB,R,DL_Por_T3_DL19.jpg_HSB_07,184299,21.384,40.138,7,0,252,0,255,DL_Por_T3_DL19
DL_Por_T3_DL19.jpg_HSB,DL,Por,T3,DL19,HSB,G,DL_Por_T3_DL19.jpg_HSB_08,184299,69.531,20.652,85,0,145,0,255,DL_Por_T3_DL19
DL_Por_T3_DL19.jpg_HSB,DL,Por,T3,DL19,HSB,B,DL_Por_T3_DL19.jpg_HSB_09,184299,65.578,20.605,54,20,118,0,255,DL_Por_T3_DL19
DL_Por_T3_DL20.jpg_RGB,DL,Por,T3,DL20,RGB,R,DL_Por_T3_DL20.jpg_RGB_01,388250,52.821,19.432,60,5,124,0,255,DL_Por_T3_DL20
DL_Por_T3_DL20.jpg_RGB,DL,Por,T3,DL20,RGB,G,DL_Por_T3_DL20.jpg_RGB_02,388250,40.483,17.7,36,2,112,0,255,DL_Por_T3_DL20
DL_Por_T3_DL20.jpg_RGB,DL,Por,T3,DL20,RGB,B,DL_Por_T3_DL20.jpg_RGB_03,388250,44.268,19.506,44,0,116,0,255,DL_Por_T3_DL20
DL_Por_T3_DL20.jpg_LAB,DL,Por,T3,DL20,LAB,R,DL_Por_T3_DL20.jpg_LAB_04,388250,17.72,8.224,16.031,0.959,45.564,-3.40E+38,3.40E+38,DL_Por_T3_DL20
DL_Por_T3_DL20.jpg_LAB,DL,Por,T3,DL20,LAB,G,DL_Por_T3_DL20.jpg_LAB_05,388250,6.507,4.697,5.167,-12.52,19.479,-3.40E+38,3.40E+38,DL_Por_T3_DL20
DL_Por_T3_DL20.jpg_LAB,DL,Por,T3,DL20,LAB,B,DL_Por_T3_DL20.jpg_LAB_06,388250,-0.228,4.561,-3.357,-13.428,22.134,-3.40E+38,3.40E+38,DL_Por_T3_DL20
DL_Por_T3_DL20.jpg_HSB,DL,Por,T3,DL20,HSB,R,DL_Por_T3_DL20.jpg_HSB_07,388250,165.639,97.341,240,0,253,0,255,DL_Por_T3_DL20
DL_Por_T3_DL20.jpg_HSB,DL,Por,T3,DL20,HSB,G,DL_Por_T3_DL20.jpg_HSB_08,388250,74.42,22.767,85,0,255,0,255,DL_Por_T3_DL20
DL_Por_T3_DL20.jpg_HSB,DL,Por,T3,DL20,HSB,B,DL_Por_T3_DL20.jpg_HSB_09,388250,53.151,19.623,60,5,124,0,255,DL_Por_T3_DL20
DL_Por_T4_DL11.jpg_RGB,DL,Por,T4,DL11,RGB,R,DL_Por_T4_DL11.jpg_RGB_01,116615,102.201,26.785,131,6,150,0,255,DL_Por_T4_DL11
DL_Por_T4_DL11.jpg_RGB,DL,Por,T4,DL11,RGB,G,DL_Por_T4_DL11.jpg_RGB_02,116615,92.658,24.767,100,7,139,0,255,DL_Por_T4_DL11
DL_Por_T4_DL11.jpg_RGB,DL,Por,T4,DL11,RGB,B,DL_Por_T4_DL11.jpg_RGB_03,116615,88.5,23.756,96,8,150,0,255,DL_Por_T4_DL11
DL_Por_T4_DL11.jpg_LAB,DL,Por,T4,DL11,LAB,R,DL_Por_T4_DL11.jpg_LAB_04,116615,39.899,10.428,38.714,2.966,57.93,-3.40E+38,3.40E+38,DL_Por_T4_DL11
DL_Por_T4_DL11.jpg_LAB,DL,Por,T4,DL11,LAB,G,DL_Por_T4_DL11.jpg_LAB_05,116615,3.17,2.884,5.57,-10.152,10.757,-3.40E+38,3.40E+38,DL_Por_T4_DL11
DL_Por_T4_DL11.jpg_LAB,DL,Por,T4,DL11,LAB,B,DL_Por_T4_DL11.jpg_LAB_06,116615,3.79,4.04,3.944,-15.547,21.008,-3.40E+38,3.40E+38,DL_Por_T4_DL11
DL_Por_T4_DL11.jpg_HSB,DL,Por,T4,DL11,HSB,R,DL_Por_T4_DL11.jpg_HSB_07,116615,38.847,61.883,7,0,252,0,255,DL_Por_T4_DL11
DL_Por_T4_DL11.jpg_HSB,DL,Por,T4,DL11,HSB,G,DL_Por_T4_DL11.jpg_HSB_08,116615,42.014,19.189,34,0,220,0,255,DL_Por_T4_DL11
DL_Por_T4_DL11.jpg_HSB,DL,Por,T4,DL11,HSB,B,DL_Por_T4_DL11.jpg_HSB_09,116615,103.599,25.193,131,16,150,0,255,DL_Por_T4_DL11
DL_Por_T4_DL12.jpg_RGB,DL,Por,T4,DL12,RGB,R,DL_Por_T4_DL12.jpg_RGB_01,249203,113.829,25.557,140,0,160,0,255,DL_Por_T4_DL12
DL_Por_T4_DL12.jpg_RGB,DL,Por,T4,DL12,RGB,G,DL_Por_T4_DL12.jpg_RGB_02,249203,105.25,27.38,136,5,149,0,255,DL_Por_T4_DL12
DL_Por_T4_DL12.jpg_RGB,DL,Por,T4,DL12,RGB,B,DL_Por_T4_DL12.jpg_RGB_03,249203,95.72,28.549,131,8,155,0,255,DL_Por_T4_DL12
DL_Por_T4_DL12.jpg_LAB,DL,Por,T4,DL12,LAB,R,DL_Por_T4_DL12.jpg_LAB_04,249203,44.791,11.053,56.989,1.593,60.559,-3.40E+38,3.40E+38,DL_Por_T4_DL12
DL_Por_T4_DL12.jpg_LAB,DL,Por,T4,DL12,LAB,G,DL_Por_T4_DL12.jpg_LAB_05,249203,1.761,1.743,1.147,-12.449,19.63,-3.40E+38,3.40E+38,DL_Por_T4_DL12
DL_Por_T4_DL12.jpg_LAB,DL,Por,T4,DL12,LAB,B,DL_Por_T4_DL12.jpg_LAB_06,249203,6.67,3.83,2.844,-15.242,18.189,-3.40E+38,3.40E+38,DL_Por_T4_DL12
DL_Por_T4_DL12.jpg_HSB,DL,Por,T4,DL12,HSB,R,DL_Por_T4_DL12.jpg_HSB_07,249203,29.558,35.879,21,0,253,0,255,DL_Por_T4_DL12
DL_Por_T4_DL12.jpg_HSB,DL,Por,T4,DL12,HSB,G,DL_Por_T4_DL12.jpg_HSB_08,249203,45.679,25.035,17,0,255,0,255,DL_Por_T4_DL12
DL_Por_T4_DL12.jpg_HSB,DL,Por,T4,DL12,HSB,B,DL_Por_T4_DL12.jpg_HSB_09,249203,114.177,25.134,140,13,160,0,255,DL_Por_T4_DL12
DL_Por_T4_DL13.jpg_RGB,DL,Por,T4,DL13,RGB,R,DL_Por_T4_DL13.jpg_RGB_01,152910,93.416,27.23,122,0,142,0,255,DL_Por_T4_DL13
DL_Por_T4_DL13.jpg_RGB,DL,Por,T4,DL13,RGB,G,DL_Por_T4_DL13.jpg_RGB_02,152910,88.049,27.031,118,8,133,0,255,DL_Por_T4_DL13
DL_Por_T4_DL13.jpg_RGB,DL,Por,T4,DL13,RGB,B,DL_Por_T4_DL13.jpg_RGB_03,152910,79.01,27.416,115,7,134,0,255,DL_Por_T4_DL13
DL_Por_T4_DL13.jpg_LAB,DL,Por,T4,DL13,LAB,R,DL_Por_T4_DL13.jpg_LAB_04,152910,37.371,11.446,52.318,1.747,54.696,-3.40E+38,3.40E+38,DL_Por_T4_DL13
DL_Por_T4_DL13.jpg_LAB,DL,Por,T4,DL13,LAB,G,DL_Por_T4_DL13.jpg_LAB_05,152910,0.519,2.243,2.301,-11.715,7.523,-3.40E+38,3.40E+38,DL_Por_T4_DL13
DL_Por_T4_DL13.jpg_LAB,DL,Por,T4,DL13,LAB,B,DL_Por_T4_DL13.jpg_LAB_06,152910,6.085,3.693,7.098,-6.493,18.271,-3.40E+38,3.40E+38,DL_Por_T4_DL13
DL_Por_T4_DL13.jpg_HSB,DL,Por,T4,DL13,HSB,R,DL_Por_T4_DL13.jpg_HSB_07,152910,37.053,41.698,21,0,250,0,255,DL_Por_T4_DL13
DL_Por_T4_DL13.jpg_HSB,DL,Por,T4,DL13,HSB,G,DL_Por_T4_DL13.jpg_HSB_08,152910,45.496,23.355,12,0,255,0,255,DL_Por_T4_DL13
DL_Por_T4_DL13.jpg_HSB,DL,Por,T4,DL13,HSB,B,DL_Por_T4_DL13.jpg_HSB_09,152910,94.006,26.715,122,9,142,0,255,DL_Por_T4_DL13
DL_Por_T4_DL14.jpg_RGB,DL,Por,T4,DL14,RGB,R,DL_Por_T4_DL14.jpg_RGB_01,185201,53.011,18.058,44,0,109,0,255,DL_Por_T4_DL14
DL_Por_T4_DL14.jpg_RGB,DL,Por,T4,DL14,RGB,G,DL_Por_T4_DL14.jpg_RGB_02,185201,46.691,18.399,35,1,102,0,255,DL_Por_T4_DL14
DL_Por_T4_DL14.jpg_RGB,DL,Por,T4,DL14,RGB,B,DL_Por_T4_DL14.jpg_RGB_03,185201,42.361,16.242,34,0,103,0,255,DL_Por_T4_DL14
DL_Por_T4_DL14.jpg_LAB,DL,Por,T4,DL14,LAB,R,DL_Por_T4_DL14.jpg_LAB_04,185201,19.583,8.161,16.006,0.255,42.477,-3.40E+38,3.40E+38,DL_Por_T4_DL14
DL_Por_T4_DL14.jpg_LAB,DL,Por,T4,DL14,LAB,G,DL_Por_T4_DL14.jpg_LAB_05,185201,2.044,2.145,0.299,-8.393,8.528,-3.40E+38,3.40E+38,DL_Por_T4_DL14
DL_Por_T4_DL14.jpg_LAB,DL,Por,T4,DL14,LAB,B,DL_Por_T4_DL14.jpg_LAB_06,185201,3.803,2.482,2.733,-7.1,14.324,-3.40E+38,3.40E+38,DL_Por_T4_DL14
DL_Por_T4_DL14.jpg_HSB,DL,Por,T4,DL14,HSB,R,DL_Por_T4_DL14.jpg_HSB_07,185201,49.294,75.087,18,0,252,0,255,DL_Por_T4_DL14
DL_Por_T4_DL14.jpg_HSB,DL,Por,T4,DL14,HSB,G,DL_Por_T4_DL14.jpg_HSB_08,185201,55.906,16.646,60,0,255,0,255,DL_Por_T4_DL14
DL_Por_T4_DL14.jpg_HSB,DL,Por,T4,DL14,HSB,B,DL_Por_T4_DL14.jpg_HSB_09,185201,53.267,18.031,44,3,109,0,255,DL_Por_T4_DL14
