Label,Site,Genus,Treatment,Genotype,Color_type,Color,Name,Area1,Mean_frag,StdDev1,Mode1,Min1,Max1,MinThr1,MaxThr1,Label_match
DL_Poc_T1_DL03.jpg_HSB,DL,Poc,T1,DL03,HSB,G,DL_Poc_T1_DL03.jpg_HSB_08,125831,127.607,58.859,182,0,255,0,255,DL_Poc_T1_DL03
DL_Poc_T1_DL03.jpg_HSB,DL,Poc,T1,DL03,HSB,B,DL_Poc_T1_DL03.jpg_HSB_09,125831,62.762,20.256,65,2,116,0,255,DL_Poc_T1_DL03
DL_Poc_T1_DL04.jpg_RGB,DL,Poc,T1,DL04,RGB,R,DL_Poc_T1_DL04.jpg_RGB_01,454293,110.215,28.679,129,10,155,0,255,DL_Poc_T1_DL04
DL_Poc_T1_DL04.jpg_RGB,DL,Poc,T1,DL04,RGB,G,DL_Poc_T1_DL04.jpg_RGB_02,454293,104.846,37.062,127,0,145,0,255,DL_Poc_T1_DL04
DL_Poc_T1_DL04.jpg_RGB,DL,Poc,T1,DL04,RGB,B,DL_Poc_T1_DL04.jpg_RGB_03,454293,104.347,41.797,127,0,144,0,255,DL_Poc_T1_DL04
DL_Poc_T1_DL04.jpg_LAB,DL,Poc,T1,DL04,LAB,R,DL_Poc_T1_DL04.jpg_LAB_04,454293,44.429,14.887,52.421,0.583,58.156,-3.40E+38,3.40E+38,DL_Poc_T1_DL04
DL_Poc_T1_DL04.jpg_LAB,DL,Poc,T1,DL04,LAB,G,DL_Poc_T1_DL04.jpg_LAB_05,454293,2.533,4.494,0.42,-11.435,19.376,-3.40E+38,3.40E+38,DL_Poc_T1_DL04
DL_Poc_T1_DL04.jpg_LAB,DL,Poc,T1,DL04,LAB,B,DL_Poc_T1_DL04.jpg_LAB_06,454293,1.498,5.077,-1.123,-6.445,20.534,-3.40E+38,3.40E+38,DL_Poc_T1_DL04
DL_Poc_T1_DL04.jpg_HSB,DL,Poc,T1,DL04,HSB,R,DL_Poc_T1_DL04.jpg_HSB_07,454293,125.29,70.931,170,0,253,0,255,DL_Poc_T1_DL04
DL_Poc_T1_DL04.jpg_HSB,DL,Poc,T1,DL04,HSB,G,DL_Poc_T1_DL04.jpg_HSB_08,454293,35.423,57.215,4,0,255,0,255,DL_Poc_T1_DL04
DL_Poc_T1_DL04.jpg_HSB,DL,Poc,T1,DL04,HSB,B,DL_Poc_T1_DL04.jpg_HSB_09,454293,112.121,29.504,127,10,155,0,255,DL_Poc_T1_DL04
DL_Poc_T1_DL05.jpg_RGB,DL,Poc,T1,DL05,RGB,R,DL_Poc_T1_DL05.jpg_RGB_01,141295,51.022,15.572,42,3,106,0,255,DL_Poc_T1_DL05
DL_Poc_T1_DL05.jpg_RGB,DL,Poc,T1,DL05,RGB,G,DL_Poc_T1_DL05.jpg_RGB_02,141295,34.408,15.474,24,0,88,0,255,DL_Poc_T1_DL05
DL_Poc_T1_DL05.jpg_RGB,DL,Poc,T1,DL05,RGB,B,DL_Poc_T1_DL05.jpg_RGB_03,141295,26.568,17.958,14,0,94,0,255,DL_Poc_T1_DL05
DL_Poc_T1_DL05.jpg_LAB,DL,Poc,T1,DL05,LAB,R,DL_Poc_T1_DL05.jpg_LAB_04,141295,15.133,7.101,9.781,0.175,37.721,-3.40E+38,3.40E+38,DL_Poc_T1_DL05
DL_Poc_T1_DL05.jpg_LAB,DL,Poc,T1,DL05,LAB,G,DL_Poc_T1_DL05.jpg_LAB_05,141295,6.861,3.141,5.196,-6.378,16.327,-3.40E+38,3.40E+38,DL_Poc_T1_DL05
DL_Poc_T1_DL05.jpg_LAB,DL,Poc,T1,DL05,LAB,B,DL_Poc_T1_DL05.jpg_LAB_06,141295,7.977,3.807,10.096,-9.047,17.659,-3.40E+38,3.40E+38,DL_Poc_T1_DL05
DL_Poc_T1_DL05.jpg_HSB,DL,Poc,T1,DL05,HSB,R,DL_Poc_T1_DL05.jpg_HSB_07,141295,24.579,43.28,16,0,253,0,255,DL_Poc_T1_DL05
DL_Poc_T1_DL05.jpg_HSB,DL,Poc,T1,DL05,HSB,G,DL_Poc_T1_DL05.jpg_HSB_08,141295,134.326,47.783,167,0,255,0,255,DL_Poc_T1_DL05
DL_Poc_T1_DL05.jpg_HSB,DL,Poc,T1,DL05,HSB,B,DL_Poc_T1_DL05.jpg_HSB_09,141295,51.302,15.705,42,3,106,0,255,DL_Poc_T1_DL05
DL_Poc_T1_DL06.jpg_RGB,DL,Poc,T1,DL06,RGB,R,DL_Poc_T1_DL06.jpg_RGB_01,141686,60.316,20.024,44,5,114,0,255,DL_Poc_T1_DL06
DL_Poc_T1_DL06.jpg_RGB,DL,Poc,T1,DL06,RGB,G,DL_Poc_T1_DL06.jpg_RGB_02,141686,44.951,20.138,28,0,99,0,255,DL_Poc_T1_DL06
DL_Poc_T1_DL06.jpg_RGB,DL,Poc,T1,DL06,RGB,B,DL_Poc_T1_DL06.jpg_RGB_03,141686,33.707,22.341,14,0,102,0,255,DL_Poc_T1_DL06
DL_Poc_T1_DL06.jpg_LAB,DL,Poc,T1,DL06,LAB,R,DL_Poc_T1_DL06.jpg_LAB_04,141686,19.682,9.074,9.729,0.291,40.895,-3.40E+38,3.40E+38,DL_Poc_T1_DL06
DL_Poc_T1_DL06.jpg_LAB,DL,Poc,T1,DL06,LAB,G,DL_Poc_T1_DL06.jpg_LAB_05,141686,5.519,2.887,5.254,-9.579,13.504,-3.40E+38,3.40E+38,DL_Poc_T1_DL06
DL_Poc_T1_DL06.jpg_LAB,DL,Poc,T1,DL06,LAB,B,DL_Poc_T1_DL06.jpg_LAB_06,141686,9.844,4.697,10,-6.37,19.262,-3.40E+38,3.40E+38,DL_Poc_T1_DL06
DL_Poc_T1_DL06.jpg_HSB,DL,Poc,T1,DL06,HSB,R,DL_Poc_T1_DL06.jpg_HSB_07,141686,24.106,30.415,18,0,253,0,255,DL_Poc_T1_DL06
