Site,Genus,ColonyID,Treatment_nonnum,Treatment,Replicate,Temperature,F0,Fm,Yield,Y
Harry's Bommie,Porites,HBTRIAL18,T2,3,3,31.3,,,560,0.56
Harry's Bommie,Acropora,HBTRIAL19,T2,3,3,31.3,,,629,0.629
Shallow Lagoon,Pocillopora,SL01,T2,3,1,31.3,424,1202,647,0.647
Shallow Lagoon,Pocillopora,SL02,T2,3,1,31.3,380,1053,639,0.639
Shallow Lagoon,Pocillopora,SL03,T2,3,1,31.3,347,1037,665,0.665
Shallow Lagoon,Pocillopora,SL04,T2,3,1,31.3,263,902,708,0.708
Shallow Lagoon,Pocillopora,SL05,T2,3,1,31.3,445,1271,649,0.649
Shallow Lagoon,Pocillopora,SL06,T2,3,1,31.3,350,854,590,0.59
Shallow Lagoon,Pocillopora,SL07,T2,3,1,31.3,298,782,618,0.618
Shallow Lagoon,Pocillopora,SL08,T2,3,1,31.3,373,1050,644,0.644
Shallow Lagoon,Pocillopora,SL09,T2,3,1,31.3,331,912,637,0.637
Shallow Lagoon,Pocillopora,SL10,T2,3,1,31.3,391,1106,646,0.646
Shallow Lagoon,Porites,SL11,T2,3,1,31.3,547,1189,539,0.539
Shallow Lagoon,Porites,SL12,T2,3,1,31.3,574,1442,601,0.601
Shallow Lagoon,Porites,SL13,T2,3,1,31.3,629,1361,537,0.537
Shallow Lagoon,Porites,SL14,T2,3,1,31.3,615,1459,578,0.578
Shallow Lagoon,Porites,SL15,T2,3,1,31.3,582,1330,562,0.562
Shallow Lagoon,Porites,SL16,T2,3,1,31.3,650,1405,537,0.537
Shallow Lagoon,Porites,SL17,T2,3,1,31.3,555,1399,603,0.603
Shallow Lagoon,Porites,SL18,T2,3,1,31.3,504,1122,550,0.55
Shallow Lagoon,Porites,SL19,T2,3,1,31.3,,,,
Shallow Lagoon,Porites,SL20,T2,3,1,31.3,718,1498,520,0.52
Shallow Lagoon,Pocillopora,SL01,T2,3,2,31.3,209,545,616,0.616
Shallow Lagoon,Pocillopora,SL02,T2,3,2,31.3,273,769,644,0.644
Shallow Lagoon,Pocillopora,SL03,T2,3,2,31.3,364,1051,653,0.653
Shallow Lagoon,Pocillopora,SL04,T2,3,2,31.3,418,1180,645,0.645
Shallow Lagoon,Pocillopora,SL05,T2,3,2,31.3,370,980,622,0.622
Shallow Lagoon,Pocillopora,SL06,T2,3,2,31.3,389,1049,629,0.629
Shallow Lagoon,Pocillopora,SL07,T2,3,2,31.3,341,933,634,0.634
Shallow Lagoon,Pocillopora,SL08,T2,3,2,31.3,456,1209,622,0.622
Shallow Lagoon,Pocillopora,SL09,T2,3,2,31.3,325,889,634,0.634
Shallow Lagoon,Pocillopora,SL10,T2,3,2,31.3,378,1080,650,0.65
Shallow Lagoon,Porites,SL11,T2,3,2,31.3,554,1245,555,0.555
Shallow Lagoon,Porites,SL12,T2,3,2,31.3,549,1343,591,0.591
Shallow Lagoon,Porites,SL13,T2,3,2,31.3,713,1525,532,0.532
Shallow Lagoon,Porites,SL14,T2,3,2,31.3,572,1379,585,0.585
Shallow Lagoon,Porites,SL15,T2,3,2,31.3,565,1337,577,0.577
Shallow Lagoon,Porites,SL16,T2,3,2,31.3,607,1425,574,0.574
Shallow Lagoon,Porites,SL17,T2,3,2,31.3,558,1327,579,0.579
Shallow Lagoon,Porites,SL18,T2,3,2,31.3,543,1322,589,0.589
Shallow Lagoon,Porites,SL19,T2,3,2,31.3,,,,
Shallow Lagoon,Porites,SL20,T2,3,2,31.3,723,1625,555,0.555
Deep Lagoon,Pocillopora,DL01,T2,3,1,31.3,335,863,611,0.611
Deep Lagoon,Pocillopora,DL02,T2,3,1,31.3,357,990,639,0.639
Deep Lagoon,Pocillopora,DL03,T2,3,1,31.3,247,682,637,0.637
Deep Lagoon,Pocillopora,DL04,T2,3,1,31.3,302,816,629,0.629
Deep Lagoon,Pocillopora,DL05,T2,3,1,31.3,357,1085,670,0.67
Deep Lagoon,Pocillopora,DL06,T2,3,1,31.3,412,1150,641,0.641
Deep Lagoon,Pocillopora,DL07,T2,3,1,31.3,254,682,627,0.627
Deep Lagoon,Pocillopora,DL08,T2,3,1,31.3,230,613,624,0.624
Deep Lagoon,Pocillopora,DL09,T2,3,1,31.3,275,847,675,0.675
Deep Lagoon,Pocillopora,DL10,T2,3,1,31.3,201,547,632,0.632
Deep Lagoon,Porites,DL11,T2,3,1,31.3,376,1042,639,0.639
Deep Lagoon,Porites,DL12,T2,3,1,31.3,402,1164,654,0.654
Deep Lagoon,Porites,DL13,T2,3,1,31.3,366,975,624,0.624
Deep Lagoon,Porites,DL14,T2,3,1,31.3,542,1345,597,0.597
Deep Lagoon,Porites,DL15,T2,3,1,31.3,429,1171,633,0.633
Deep Lagoon,Porites,DL16,T2,3,1,31.3,407,1019,600,0.6
Deep Lagoon,Porites,DL17,T2,3,1,31.3,408,1124,637,0.637
Deep Lagoon,Porites,DL18,T2,3,1,31.3,323,913,646,0.646
Deep Lagoon,Porites,DL19,T2,3,1,31.3,288,766,624,0.624
Deep Lagoon,Porites,DL20,T2,3,1,31.3,283,703,597,0.597
Reef Flat,Pocillopora,RF01,T2,3,1,31.3,392,1075,635,0.635
Reef Flat,Pocillopora,RF02,T2,3,1,31.3,308,847,647,0.647
Reef Flat,Pocillopora,RF03,T2,3,1,31.3,294,875,664,0.664
Reef Flat,Pocillopora,RF04,T2,3,1,31.3,243,704,654,0.654
Reef Flat,Pocillopora,RF05,T2,3,1,31.3,381,1051,637,0.637
Reef Flat,Pocillopora,RF06,T2,3,1,31.3,432,1255,655,0.655
Reef Flat,Pocillopora,RF07,T2,3,1,31.3,248,716,653,0.653
Reef Flat,Pocillopora,RF08,T2,3,1,31.3,314,905,653,0.653
Reef Flat,Pocillopora,RF09,T2,3,1,31.3,296,862,656,0.656
Reef Flat,Pocillopora,RF10,T2,3,1,31.3,311,812,616,0.616
Reef Flat,Porites,RF11,T2,3,1,31.3,494,1229,598,0.598
Reef Flat,Porites,RF12,T2,3,1,31.3,384,922,583,0.583
Reef Flat,Porites,RF13,T2,3,1,31.3,600,1518,604,0.604
Reef Flat,Porites,RF14,T2,3,1,31.3,262,568,538,0.538
Reef Flat,Porites,RF15,T2,3,1,31.3,442,1144,613,0.613
Reef Flat,Porites,RF16,T2,3,1,31.3,346,843,589,0.589
Reef Flat,Acropora,RF21,T2,3,1,31.3,390,1079,638,0.638
Reef Flat,Acropora,RF22,T2,3,1,31.3,415,1213,657,0.657
Reef Flat,Acropora,RF23,T2,3,1,31.3,403,1107,635,0.635
Reef Flat,Acropora,RF24,T2,3,1,31.3,406,1063,618,0.618
Reef Flat,Acropora,RF25,T2,3,1,31.3,368,980,624,0.624
Reef Flat,Acropora,RF26,T2,3,1,31.3,223,643,653,0.653
Reef Flat,Acropora,RF27,T2,3,1,31.3,283,798,645,0.645
Reef Flat,Acropora,RF28,T2,3,1,31.3,333,883,622,0.622
Reef Flat,Acropora,RF29,T2,3,1,31.3,331,969,658,0.658
Reef Flat,Acropora,RF30,T2,3,1,31.3,303,853,644,0.644
Reef Flat,Pocillopora,RF01,T2,3,2,31.3,235,654,640,0.64
Reef Flat,Pocillopora,RF02,T2,3,2,31.3,260,770,662,0.662
Reef Flat,Pocillopora,RF03,T2,3,2,31.3,349,938,627,0.627
Reef Flat,Pocillopora,RF04,T2,3,2,31.3,291,822,645,0.645
Reef Flat,Pocillopora,RF05,T2,3,2,31.3,308,883,651,0.651
Reef Flat,Pocillopora,RF06,T2,3,2,31.3,317,868,634,0.634
Reef Flat,Pocillopora,RF07,T2,3,2,31.3,199,547,636,0.636
Reef Flat,Pocillopora,RF08,T2,3,2,31.3,309,879,648,0.648
Reef Flat,Pocillopora,RF09,T2,3,2,31.3,272,736,630,0.63
Reef Flat,Pocillopora,RF10,T2,3,2,31.3,376,1097,657,0.657
Reef Flat,Porites,RF11,T2,3,2,31.3,598,1306,542,0.542
Reef Flat,Porites,RF12,T2,3,2,31.3,538,1290,582,0.582
Reef Flat,Porites,RF13,T2,3,2,31.3,610,1506,594,0.594
Reef Flat,Porites,RF14,T2,3,2,31.3,412,1020,596,0.596
Reef Flat,Porites,RF15,T2,3,2,31.3,,,,
Reef Flat,Porites,RF16,T2,3,2,31.3,265,625,576,0.576
Reef Flat,Acropora,RF21,T2,3,2,31.3,368,982,625,0.625
Reef Flat,Acropora,RF22,T2,3,2,31.3,333,943,646,0.646
Reef Flat,Acropora,RF23,T2,3,2,31.3,322,932,654,0.654
Reef Flat,Acropora,RF24,T2,3,2,31.3,305,1130,730,0.73
Reef Flat,Acropora,RF25,T2,3,2,31.3,386,1149,664,0.664
Reef Flat,Acropora,RF26,T2,3,2,31.3,259,761,659,0.659
Reef Flat,Acropora,RF27,T2,3,2,31.3,277,837,669,0.669
Reef Flat,Acropora,RF28,T2,3,2,31.3,196,552,644,0.644
Reef Flat,Acropora,RF29,T2,3,2,31.3,328,954,656,0.656
Reef Flat,Acropora,RF30,T2,3,2,31.3,297,886,664,0.664
Fourth Point,Pocillopora,FP01,T2,3,1,31.3,343,1060,676,0.676
Fourth Point,Pocillopora,FP01,T2,3,2,31.3,345,1017,660,0.66
Fourth Point,Pocillopora,FP02,T2,3,1,31.3,275,796,654,0.654
Fourth Point,Pocillopora,FP02,T2,3,2,31.3,290,842,655,0.655
Fourth Point,Pocillopora,FP03,T2,3,1,31.3,229,662,654,0.654
Fourth Point,Pocillopora,FP03,T2,3,2,31.3,247,771,679,0.679
Fourth Point,Pocillopora,FP04,T2,3,1,31.3,333,1045,681,0.681
Fourth Point,Pocillopora,FP04,T2,3,2,31.3,329,994,669,0.669
Fourth Point,Pocillopora,FP05,T2,3,1,31.3,349,1080,676,0.676
Fourth Point,Pocillopora,FP05,T2,3,2,31.3,341,1086,686,0.686
Fourth Point,Pocillopora,FP06,T2,3,1,31.3,338,889,619,0.619
Fourth Point,Pocillopora,FP06,T2,3,2,31.3,267,723,630,0.63
Fourth Point,Pocillopora,FP07,T2,3,1,31.3,320,967,669,0.669
Fourth Point,Pocillopora,FP07,T2,3,2,31.3,233,698,666,0.666
Fourth Point,Pocillopora,FP08,T2,3,1,31.3,158,429,631,0.631
Fourth Point,Pocillopora,FP08,T2,3,2,31.3,192,540,644,0.644
Fourth Point,Pocillopora,FP09,T2,3,1,31.3,348,994,649,0.649
Fourth Point,Pocillopora,FP09,T2,3,2,31.3,161,457,647,0.647
Fourth Point,Pocillopora,FP10,T2,3,1,31.3,274,797,656,0.656
Fourth Point,Pocillopora,FP10,T2,3,2,31.3,228,669,659,0.659
Fourth Point,Porites,FP11,T2,3,1,31.3,426,1058,597,0.597
Fourth Point,Porites,FP11,T2,3,2,31.3,,,,
Fourth Point,Porites,FP12,T2,3,1,31.3,476,1142,583,0.583
Fourth Point,Porites,FP12,T2,3,2,31.3,515,1262,591,0.591
Fourth Point,Porites,FP13,T2,3,1,31.3,430,1173,633,0.633
Fourth Point,Porites,FP13,T2,3,2,31.3,431,1099,607,0.607
Fourth Point,Porites,FP14,T2,3,1,31.3,270,705,617,0.617
Fourth Point,Porites,FP14,T2,3,2,31.3,283,722,608,0.608
Fourth Point,Porites,FP15,T2,3,1,31.3,478,1185,596,0.596
Fourth Point,Porites,FP15,T2,3,2,31.3,488,1267,614,0.614
Fourth Point,Acropora,FP21,T2,3,1,31.3,261,655,601,0.601
Fourth Point,Acropora,FP21,T2,3,2,31.3,243,731,667,0.667
Fourth Point,Acropora,FP22,T2,3,1,31.3,387,1060,634,0.634
Fourth Point,Acropora,FP22,T2,3,2,31.3,289,799,638,0.638
Fourth Point,Acropora,FP23,T2,3,1,31.3,193,559,654,0.654
Fourth Point,Acropora,FP23,T2,3,2,31.3,195,558,650,0.65
Fourth Point,Acropora,FP24,T2,3,1,31.3,363,884,589,0.589
Fourth Point,Acropora,FP24,T2,3,2,31.3,243,588,586,0.586
Fourth Point,Acropora,FP25,T2,3,1,31.3,342,920,628,0.628
Fourth Point,Acropora,FP25,T2,3,2,31.3,315,845,627,0.627
Fourth Point,Acropora,FP26,T2,3,1,31.3,346,964,641,0.641
Fourth Point,Acropora,FP26,T2,3,2,31.3,315,836,623,0.623
Fourth Point,Acropora,FP27,T2,3,1,31.3,221,671,670,0.67
Fourth Point,Acropora,FP27,T2,3,2,31.3,205,586,650,0.65
Fourth Point,Acropora,FP28,T2,3,1,31.3,279,865,677,0.677
Fourth Point,Acropora,FP28,T2,3,2,31.3,221,620,643,0.643
Fourth Point,Acropora,FP29,T2,3,1,31.3,374,1043,641,0.641
Fourth Point,Acropora,FP29,T2,3,2,31.3,307,875,649,0.649
Fourth Point,Acropora,FP30,T2,3,1,31.3,314,788,601,0.601
Fourth Point,Acropora,FP30,T2,3,2,31.3,326,985,669,0.669
Reef Crest,Pocillopora,RC01,T2,3,1,31.3,352,1048,664,0.664
Reef Crest,Pocillopora,RC01,T2,3,2,31.3,261,761,657,0.657
Reef Crest,Pocillopora,RC02,T2,3,1,31.3,348,961,637,0.637
Reef Crest,Pocillopora,RC02,T2,3,2,31.3,337,993,660,0.66
Reef Crest,Pocillopora,RC03,T2,3,1,31.3,343,978,649,0.649
Reef Crest,Pocillopora,RC03,T2,3,2,31.3,354,1030,656,0.656
Reef Crest,Pocillopora,RC04,T2,3,1,31.3,397,1113,643,0.643
Reef Crest,Pocillopora,RC04,T2,3,2,31.3,296,793,626,0.626
Reef Crest,Pocillopora,RC05,T2,3,1,31.3,237,677,649,0.649
Reef Crest,Pocillopora,RC05,T2,3,2,31.3,438,1269,654,0.654
Reef Crest,Pocillopora,RC06,T2,3,1,31.3,414,1251,669,0.669
Reef Crest,Pocillopora,RC06,T2,3,2,31.3,369,1118,669,0.669
Reef Crest,Pocillopora,RC07,T2,3,1,31.3,368,1035,644,0.644
Reef Crest,Pocillopora,RC07,T2,3,2,31.3,384,1069,640,0.64
Reef Crest,Pocillopora,RC08,T2,3,1,31.3,328,934,648,0.648
Reef Crest,Pocillopora,RC08,T2,3,2,31.3,311,856,636,0.636
Reef Crest,Pocillopora,RC09,T2,3,1,31.3,376,1086,653,0.653
Reef Crest,Pocillopora,RC09,T2,3,2,31.3,403,1038,611,0.611
Reef Crest,Pocillopora,RC10,T2,3,1,31.3,326,949,656,0.656
Reef Crest,Pocillopora,RC10,T2,3,2,31.3,398,1177,661,0.661
Reef Crest,Porites,RC11,T2,3,1,31.3,346,870,602,0.602
Reef Crest,Porites,RC11,T2,3,2,31.3,297,758,608,0.608
Reef Crest,Porites,RC12,T2,3,1,31.3,363,986,631,0.631
Reef Crest,Porites,RC12,T2,3,2,31.3,401,1103,636,0.636
Reef Crest,Porites,RC13,T2,3,1,31.3,417,1013,588,0.588
Reef Crest,Porites,RC13,T2,3,2,31.3,359,988,636,0.636
Reef Crest,Porites,RC14,T2,3,1,31.3,412,1020,596,0.596
Reef Crest,Porites,RC14,T2,3,2,31.3,360,950,621,0.621
Reef Crest,Porites,RC15,T2,3,1,31.3,608,1469,586,0.586
Reef Crest,Porites,RC15,T2,3,2,31.3,547,1343,592,0.592
Reef Crest,Porites,RC16,T2,3,1,31.3,374,838,553,0.553
Reef Crest,Porites,RC16,T2,3,2,31.3,447,1148,610,0.61
Reef Crest,Porites,RC17,T2,3,1,31.3,398,1102,638,0.638
Reef Crest,Porites,RC17,T2,3,2,31.3,442,1207,633,0.633
Reef Crest,Porites,RC18,T2,3,1,31.3,491,1238,603,0.603
Reef Crest,Porites,RC18,T2,3,2,31.3,485,1224,603,0.603
Reef Crest,Porites,RC19,T2,3,1,31.3,415,1067,611,0.611
Reef Crest,Porites,RC19,T2,3,2,31.3,566,1339,577,0.577
Reef Crest,Porites,RC20,T2,3,1,31.3,429,1119,616,0.616
Reef Crest,Porites,RC20,T2,3,2,31.3,373,937,601,0.601
Reef Crest,Acropora,RC21,T2,3,1,31.3,441,1205,634,0.634
Reef Crest,Acropora,RC21,T2,3,2,31.3,438,1250,649,0.649
Reef Crest,Acropora,RC22,T2,3,1,31.3,415,1237,664,0.664
Reef Crest,Acropora,RC22,T2,3,2,31.3,335,992,662,0.662
Reef Crest,Acropora,RC23,T2,3,1,31.3,464,1312,646,0.646
Reef Crest,Acropora,RC23,T2,3,2,31.3,378,966,608,0.608
Reef Crest,Acropora,RC24,T2,3,1,31.3,387,1171,669,0.669
Reef Crest,Acropora,RC24,T2,3,2,31.3,389,1093,644,0.644
Reef Crest,Acropora,RC25,T2,3,1,31.3,422,1128,625,0.625
Reef Crest,Acropora,RC25,T2,3,2,31.3,430,1148,625,0.625
Reef Crest,Acropora,RC26,T2,3,1,31.3,361,914,605,0.605
Reef Crest,Acropora,RC26,T2,3,2,31.3,349,952,633,0.633
Reef Crest,Acropora,RC27,T2,3,1,31.3,394,1071,632,0.632
Reef Crest,Acropora,RC27,T2,3,2,31.3,369,1027,640,0.64
Reef Crest,Acropora,RC28,T2,3,1,31.3,394,1136,653,0.653
Reef Crest,Acropora,RC28,T2,3,2,31.3,280,725,613,0.613
Reef Crest,Acropora,RC29,T2,3,1,31.3,443,1239,642,0.642
Reef Crest,Acropora,RC29,T2,3,2,31.3,344,1011,659,0.659
Reef Crest,Acropora,RC30,T2,3,1,31.3,363,1004,638,0.638
Reef Crest,Acropora,RC30,T2,3,2,31.3,483,1333,637,0.637
Harry's Bommie,Acropora,HBTRIAL20,T3,4,3,33.8,,,614,0.614
Harry's Bommie,Acropora,HBTRIAL21,T3,4,3,33.8,,,592.5,0.5925
Harry's Bommie,Pocillopora,HBTRIAL22,T3,4,3,33.8,,,647,0.647
Harry's Bommie,Pocillopora,HBTRIAL23,T3,4,3,33.8,,,633.5,0.6335
Harry's Bommie,Pocillopora,HBTRIAL24,T3,4,3,33.8,,,663,0.663
Harry's Bommie,Porites,HBTRIAL25,T3,4,3,33.8,,,540,0.54
Harry's Bommie,Porites,HBTRIAL26,T3,4,3,33.8,,,551,0.551
Harry's Bommie,Porites,HBTRIAL27,T3,4,3,33.8,,,542.5,0.5425
Shallow Lagoon,Pocillopora,SL01,T3,4,1,33.8,354,1014,650,0.65
Shallow Lagoon,Pocillopora,SL02,T3,4,1,33.8,244,656,628,0.628
Shallow Lagoon,Pocillopora,SL03,T3,4,1,33.8,482,1355,644,0.644
Shallow Lagoon,Pocillopora,SL04,T3,4,1,33.8,401,1089,631,0.631
Shallow Lagoon,Pocillopora,SL05,T3,4,1,33.8,316,798,604,0.604
Shallow Lagoon,Pocillopora,SL06,T3,4,1,33.8,318,835,619,0.619
Shallow Lagoon,Pocillopora,SL07,T3,4,1,33.8,419,1109,622,0.622
Shallow Lagoon,Pocillopora,SL08,T3,4,1,33.8,346,951,636,0.636
Shallow Lagoon,Pocillopora,SL09,T3,4,1,33.8,244,656,628,0.628
Shallow Lagoon,Pocillopora,SL10,T3,4,1,33.8,462,1266,623,0.623
Shallow Lagoon,Porites,SL11,T3,4,1,33.8,639,1386,538,0.538
Shallow Lagoon,Porites,SL12,T3,4,1,33.8,598,1419,578,0.578
Shallow Lagoon,Porites,SL13,T3,4,1,33.8,735,1615,544,0.544
Shallow Lagoon,Porites,SL14,T3,4,1,33.8,675,1495,548,0.548
Shallow Lagoon,Porites,SL15,T3,4,1,33.8,608,1354,550,0.55
Shallow Lagoon,Porites,SL16,T3,4,1,33.8,518,1108,532,0.532
Shallow Lagoon,Porites,SL17,T3,4,1,33.8,667,1557,571,0.571
Shallow Lagoon,Porites,SL18,T3,4,1,33.8,542,1246,565,0.565
Shallow Lagoon,Porites,SL19,T3,4,1,33.8,791,1619,511,0.511
Shallow Lagoon,Porites,SL20,T3,4,1,33.8,783,1648,524,0.524
Shallow Lagoon,Pocillopora,SL01,T3,4,2,33.8,281,864,674,0.674
Shallow Lagoon,Pocillopora,SL02,T3,4,2,33.8,231,638,637,0.637
Shallow Lagoon,Pocillopora,SL03,T3,4,2,33.8,313,866,638,0.638
Shallow Lagoon,Pocillopora,SL04,T3,4,2,33.8,349,918,619,0.619
Shallow Lagoon,Pocillopora,SL05,T3,4,2,33.8,302,801,622,0.622
Shallow Lagoon,Pocillopora,SL06,T3,4,2,33.8,297,786,622,0.622
Shallow Lagoon,Pocillopora,SL07,T3,4,2,33.8,318,859,629,0.629
Shallow Lagoon,Pocillopora,SL08,T3,4,2,33.8,329,930,646,0.646
Shallow Lagoon,Pocillopora,SL09,T3,4,2,33.8,392,1065,631,0.631
Shallow Lagoon,Pocillopora,SL10,T3,4,2,33.8,344,898,616,0.616
Shallow Lagoon,Porites,SL11,T3,4,2,33.8,651,1419,541,0.541
Shallow Lagoon,Porites,SL12,T3,4,2,33.8,628,1525,588,0.588
Shallow Lagoon,Porites,SL13,T3,4,2,33.8,792,1698,533,0.533
Shallow Lagoon,Porites,SL14,T3,4,2,33.8,570,1240,540,0.54
Shallow Lagoon,Porites,SL15,T3,4,2,33.8,449,1000,551,0.551
Shallow Lagoon,Porites,SL16,T3,4,2,33.8,669,1389,518,0.518
Shallow Lagoon,Porites,SL17,T3,4,2,33.8,632,1469,569,0.569
Shallow Lagoon,Porites,SL18,T3,4,2,33.8,544,1324,589,0.589
Shallow Lagoon,Porites,SL19,T3,4,2,33.8,679,1553,562,0.562
Shallow Lagoon,Porites,SL20,T3,4,2,33.8,,,,
Deep Lagoon,Pocillopora,DL01,T3,4,1,33.8,345,946,635,0.635
Deep Lagoon,Pocillopora,DL02,T3,4,1,33.8,251,713,647,0.647
Deep Lagoon,Pocillopora,DL03,T3,4,1,33.8,310,834,628,0.628
Deep Lagoon,Pocillopora,DL04,T3,4,1,33.8,275,808,659,0.659
Deep Lagoon,Pocillopora,DL05,T3,4,1,33.8,299,818,634,0.634
Deep Lagoon,Pocillopora,DL06,T3,4,1,33.8,390,1078,638,0.638
Deep Lagoon,Pocillopora,DL07,T3,4,1,33.8,274,733,626,0.626
Deep Lagoon,Pocillopora,DL08,T3,4,1,33.8,247,627,606,0.606
Deep Lagoon,Pocillopora,DL09,T3,4,1,33.8,287,832,655,0.655
Deep Lagoon,Pocillopora,DL10,T3,4,1,33.8,147,408,639,0.639
Deep Lagoon,Porites,DL11,T3,4,1,33.8,297,827,640,0.64
Deep Lagoon,Porites,DL12,T3,4,1,33.8,411,1219,662,0.662
Deep Lagoon,Porites,DL13,T3,4,1,33.8,301,836,639,0.639
Deep Lagoon,Porites,DL14,T3,4,1,33.8,604,1426,576,0.576
Deep Lagoon,Porites,DL15,T3,4,1,33.8,306,855,642,0.642
Deep Lagoon,Porites,DL16,T3,4,1,33.8,360,993,637,0.637
Deep Lagoon,Porites,DL17,T3,4,1,33.8,456,1172,610,0.61
Deep Lagoon,Porites,DL18,T3,4,1,33.8,261,631,586,0.586
Deep Lagoon,Porites,DL19,T3,4,1,33.8,369,924,600,0.6
Deep Lagoon,Porites,DL20,T3,4,1,33.8,376,893,578,0.578
Reef Flat,Pocillopora,RF01,T3,4,1,33.8,353,918,615,0.615
Reef Flat,Pocillopora,RF02,T3,4,1,33.8,282,763,630,0.63
Reef Flat,Pocillopora,RF03,T3,4,1,33.8,356,898,603,0.603
Reef Flat,Pocillopora,RF04,T3,4,1,33.8,271,741,634,0.634
Reef Flat,Pocillopora,RF05,T3,4,1,33.8,259,699,629,0.629
Reef Flat,Pocillopora,RF06,T3,4,1,33.8,312,845,630,0.63
Reef Flat,Pocillopora,RF07,T3,4,1,33.8,338,921,633,0.633
Reef Flat,Pocillopora,RF08,T3,4,1,33.8,268,723,629,0.629
Reef Flat,Pocillopora,RF09,T3,4,1,33.8,292,793,631,0.631
Reef Flat,Pocillopora,RF10,T3,4,1,33.8,343,936,633,0.633
Reef Flat,Porites,RF11,T3,4,1,33.8,615,1062,420,0.42
Reef Flat,Porites,RF12,T3,4,1,33.8,600,1165,484,0.484
Reef Flat,Porites,RF13,T3,4,1,33.8,596,1379,567,0.567
Reef Flat,Porites,RF14,T3,4,1,33.8,497,1082,540,0.54
Reef Flat,Porites,RF15,T3,4,1,33.8,598,1187,496,0.496
Reef Flat,Porites,RF16,T3,4,1,33.8,433,1105,608,0.608
Reef Flat,Acropora,RF21,T3,4,1,33.8,350,987,645,0.645
Reef Flat,Acropora,RF22,T3,4,1,33.8,437,1084,596,0.596
Reef Flat,Acropora,RF23,T3,4,1,33.8,245,642,618,0.618
Reef Flat,Acropora,RF24,T3,4,1,33.8,380,979,611,0.611
Reef Flat,Acropora,RF25,T3,4,1,33.8,285,750,620,0.62
Reef Flat,Acropora,RF26,T3,4,1,33.8,276,737,625,0.625
Reef Flat,Acropora,RF27,T3,4,1,33.8,288,816,647,0.647
Reef Flat,Acropora,RF28,T3,4,1,33.8,322,861,626,0.626
Reef Flat,Acropora,RF29,T3,4,1,33.8,291,772,623,0.623
Reef Flat,Acropora,RF30,T3,4,1,33.8,265,748,645,0.645
Reef Flat,Pocillopora,RF01,T3,4,2,33.8,334,927,639,0.639
Reef Flat,Pocillopora,RF02,T3,4,2,33.8,141,405,651,0.651
Reef Flat,Pocillopora,RF03,T3,4,2,33.8,287,799,640,0.64
Reef Flat,Pocillopora,RF04,T3,4,2,33.8,283,789,641,0.641
Reef Flat,Pocillopora,RF05,T3,4,2,33.8,240,651,631,0.631
Reef Flat,Pocillopora,RF06,T3,4,2,33.8,301,836,639,0.639
Reef Flat,Pocillopora,RF07,T3,4,2,33.8,308,848,636,0.636
Reef Flat,Pocillopora,RF08,T3,4,2,33.8,380,1069,644,0.644
Reef Flat,Pocillopora,RF09,T3,4,2,33.8,299,833,641,0.641
Reef Flat,Pocillopora,RF10,T3,4,2,33.8,320,890,640,0.64
Reef Flat,Porites,RF11,T3,4,2,33.8,587,1117,474,0.474
Reef Flat,Porites,RF12,T3,4,2,33.8,566,1167,514,0.514
Reef Flat,Porites,RF13,T3,4,2,33.8,600,1437,582,0.582
Reef Flat,Porites,RF14,T3,4,2,33.8,299,680,560,0.56
Reef Flat,Porites,RF15,T3,4,2,33.8,490,892,450,0.45
Reef Flat,Porites,RF16,T3,4,2,33.8,445,1088,590,0.59
Reef Flat,Acropora,RF21,T3,4,2,33.8,340,889,617,0.617
Reef Flat,Acropora,RF22,T3,4,2,33.8,300,764,607,0.607
Reef Flat,Acropora,RF23,T3,4,2,33.8,429,1124,618,0.618
Reef Flat,Acropora,RF24,T3,4,2,33.8,282,811,652,0.652
Reef Flat,Acropora,RF25,T3,4,2,33.8,358,971,631,0.631
Reef Flat,Acropora,RF26,T3,4,2,33.8,145,364,601,0.601
Reef Flat,Acropora,RF27,T3,4,2,33.8,252,683,631,0.631
Reef Flat,Acropora,RF28,T3,4,2,33.8,297,829,641,0.641
Reef Flat,Acropora,RF29,T3,4,2,33.8,305,832,633,0.633
Reef Flat,Acropora,RF30,T3,4,2,33.8,290,852,659,0.659
Fourth Point,Pocillopora,FP01,T3,4,1,33.8,316,891,645,0.645
Fourth Point,Pocillopora,FP01,T3,4,2,33.8,241,704,657,0.657
Fourth Point,Pocillopora,FP02,T3,4,1,33.8,187,420,554,0.554
Fourth Point,Pocillopora,FP02,T3,4,2,33.8,181,487,628,0.628
Fourth Point,Pocillopora,FP03,T3,4,1,33.8,226,629,640,0.64
Fourth Point,Pocillopora,FP03,T3,4,2,33.8,150,412,635,0.635
Fourth Point,Pocillopora,FP04,T3,4,1,33.8,165,481,656,0.656
Fourth Point,Pocillopora,FP04,T3,4,2,33.8,276,835,669,0.669
Fourth Point,Pocillopora,FP05,T3,4,1,33.8,144,369,609,0.609
Fourth Point,Pocillopora,FP05,T3,4,2,33.8,133,371,641,0.641
Fourth Point,Pocillopora,FP06,T3,4,1,33.8,285,739,614,0.614
Fourth Point,Pocillopora,FP06,T3,4,2,33.8,171,469,635,0.635
Fourth Point,Pocillopora,FP07,T3,4,1,33.8,305,817,626,0.626
Fourth Point,Pocillopora,FP07,T3,4,2,33.8,214,626,658,0.658
